ID,Text,Countries,Sentences,Characters
74,"In the peaceful calm of Canada, Bob, a history enthusiast, stumbled across accounts of ancient trading routes between Canada and China. The documents hinted at merchants from China voyaging across the Pacific Ocean to trade with tribes in Canada, creating a bond between these two different worlds. This sparked his curiosity and led him to his friend Maria, a linguist from Brazil who had deep knowledge of ancient languages and cultures.","[Canada, Canada, China, China, Canada, Brazil, Brazil, Brazil, Canada, China]",10,439
75,"In his youth, John had always been fascinated by the heroic tales of the samurais of Japan. He read voraciously about these warriors from Japan, their rigorous discipline, and their peculiar code of honor. Inspired, he decided to learn more about martial arts and ended up in South Korea, enrolling in a Taekwondo academy.","[Japan, Japan, South Korea, South Korea, Japan, South Korea, Japan]",7,322
76,"John was a seasoned traveler and had been to numerous countries around the world. He began his journey in Canada, exploring the vast wilderness and rich cultural heritage of the country. John spent a year in Canada, initially living in the vibrant city of Toronto, then making his way west to the picturesque Rockies. From Canada, he flew to its southern neighbour, the United States, where he was mesmerized by the diversity and spirit of the country.","[Canada, Canada, Canada, United States, United States, United States, Canada]",7,452
77,"John, an avid traveler from Canada, had recently returned from an exciting trip to Japan, a country he had always wanted to visit. He was mesmerized by Japan's rich history and unique culture and was intrigued by the stories he heard about the ancient samurai warriors of Japan. In his conversations with locals, he heard tales of the historic trade relations between Japan and China, and how both Japan and China had influenced each other's art, culture, and technological progress. Captivated by these historical narratives, John decided to take his next adventure to China.","[Canada, Japan, Japan, Japan, Japan, China, Japan, China, China, China, China, China, China, Canada, Japan, China]",16,576
78,"Jenny, a travel enthusiast from the United States, had a particularly fascinating story to tell about her time in Russia. She insisted that the more she traveled around Russia, the more it felt like she was navigating through a book of diverse and complex tales. She further mentioned that the art, culture, and history of Russia left a profound impact on her, making her visit all too memorable. Recently, she met Kazuo, a friend from Japan, who had a completely unique experience in Iran.","[United States, Russia, Russia, Russia, Japan, Iran, Iran, Iran, Iran, Russia, Iran]",11,490
79,"As a historian, Alice was fascinated by the ancient civilizations of Greece and Egypt. She loved reading about how scholars from Greece and Egypt exchanged ideas, contributing to the foundation of philosophical and mathematical thoughts. Alice, who was from the United States, had a longtime friend, Ying, from China.","[Greece, Egypt, Greece, Egypt, United States, China, China, China]",8,317
80,"In the heartland of Argentina, a team of archaeologists unearthed ancient artifacts believed to have links to the indigenous cultures of Brazil. These artifacts were a testament to a historical bond between Argentina and Brazil, bonds that spanned commerce, culture, and shared histories. Intrigued by this, a historian from the United States began researching historical records, asserting there were similar cultural exchanges between United States and Canada.","[Argentina, Brazil, Argentina, Brazil, United States, United States, Canada, United States, Canada, Argentina]",10,462
81,"On a historical expedition in Vietnam, professor Albert uncovered evidence of an ancient civilization that had moved from China. The artifacts had intricate designs and symbols that were distinctly from China's long-lost dynasties, suggesting an unknown migration. Elated from his discovery, Albert decided to share the news with his colleague, professor Catherine, an archaeology expert residing in Canada.","[Vietnam, China, China, Canada, Canada, Canada, Vietnam]",7,407
82,"Travelling through Norway, Anna came across ancient tales of Viking expeditions to Ireland. The stories described how the fierce Vikings from Norway had established settlements in many parts of Ireland, transforming its landscape and culture. After her trip to Norway, she journeyed to Ireland, hoping to unearth more about the Viking history hidden in its verdant valleys.","[Norway, Ireland, Norway, Ireland, Norway, Ireland, Ireland, Ireland, Ireland, Norway, Norway, Ireland]",12,373
83,"In his travels, John had the opportunity to visit Vietnam, where he learned about the country's long-rooted cultural ties with China. It seems that ancient dynasties in Vietnam were deeply influenced by the philosophy, art, and culture from China. He then flew to Japan, another country that shared an intricate and complex history with China.","[Vietnam, China, Vietnam, China, Japan, China, Japan, China, Vietnam]",9,343
84,"As Alice walked the bustling streets of Mexico, she couldn't help but marvel at the vibrancy and warmth that reminded her of her home country, India. She began comparing the street food markets of Mexico with those in India, realizing that despite the wide geographical and cultural distance, there were uncanny similarities. On the other hand, her friend John, who hailed from Australia, shared stories of his homeland.","[Mexico, India, Mexico, India, Australia, Australia, India, Australia]",8,420
85,"In his travels, Jake had been fascinated by the natural wonders of Australia, from its towering cliffs and eucalyptus forests to the bustling wildlife of the outback. His next stop was New Zealand, a land equally renowned for its scenic beauty including shimmering lakes and towering mountains. In contrast to Australia, New Zealand was characterized by a milder climate and more hilly terrain.","[Australia, New Zealand, Australia, New Zealand, Australia, New Zealand, Australia]",7,394
86,"Jane, a seasoned traveler from the United States, had a deep fascination with the cultural ties between countries. She had recently come across some documentaries highlighting the historic threads connecting the United Kingdom to Ireland. In the documentaries about Ireland and the United Kingdom, she learned about the shared history, bloodlines, and contentious political past.","[United States, United Kingdom, Ireland, Ireland, United Kingdom, United States]",6,379
87,"Ella and John are writers who love to travel, drawing inspiration from their journeys. They first set off to Italy, visiting Rome and Venice, finding hidden tales in every corner of Italy. Fascinated by the romances in Italy, they decided to explore France next, getting absorbed in the rich culture and vibrant arts of France.","[Italy, Italy, Italy, France, France, France, France, Italy]",8,327
88,"Sarah, an avid traveler from the United States, had spent a considerable amount of time in France and was fascinated by its history and culture. Her experiences in France had given her a deeper understanding of the world, inspiring her to visit more countries to learn about their histories. She shared her experiences with her friend John from Australia, who was interested in the wildlife and ecology of different regions.","[United States, France, France, Australia, Australia, Australia, United States]",7,424
89,"Once upon a time, there was a history professor from the United States who led an epoch-making expedition to the deep jungles of Mexico. The expedition aimed to uncover the lost cities of Mexico, rumored to hold ancient artifacts dating back thousands of years. Just the thought of setting foot on the same soil that had been tread by ancient civilizations filled the professor and his team from the United States with a surge of adrenaline.","[United States, Mexico, Mexico, United States, Mexico, Mexico, Mexico, United States, United States, Mexico, United States, United States]",12,441
90,"John, a travel blogger from Australia, had been mesmerized by the vibrant culture and history of Mexico, where he was currently exploring. He had taken a particular interest in the ancient Mayan civilization, which once flourished in Mexico and whose influence could still be seen in the country's architecture and traditions. While in Mexico, he had also discovered a shared history with Peru, where Mayan traders were believed to have ventured for trade. By studying the artifacts and tales in Peru, John was able to see a reflection of Mexico's bygone era.","[Australia, Mexico, Mexico, Mexico, Peru, Peru, Mexico, Mexico, Peru, Australia, Australia, Australia, Mexico]",13,559
91,"Maria, who hailed from Australia, gathered with her friends to discuss their recent travels and discoveries. They began with their visits to the United States, reflecting on the mesmerizing cityscapes and diverse cultures that define the United States. They then moved on to describe Canada, reminiscing about Canada's breath-taking landscapes and friendly locals. The conversation shifted as they recounted their experiences in Mexico, marvelling at the vibrant festivals and centuries-old traditions that shape Mexico.","[Australia, United States, United States, Canada, Canada, Mexico, Mexico]",7,520
92,"In the picturesque landscapes of Norway, a budding archaeologist named Peter uncovered a peculiar artifact that hinted at an intricate connection between Norway and Sweden. The artifact insinuated that ages ago, traders from Sweden might have voyaged to Norway, bringing with them unique cultural elements. As he dug deeper, Peter discovered more artifacts resembling those found in Poland, showing evidence of a historical connection between Norway and Poland.","[Norway, Norway, Sweden, Sweden, Norway, Poland, Norway, Poland, Norway, Poland, Norway, Sweden, Poland]",13,461
93,"While Sarah was excited about her upcoming trip to Italy, she fondly remembered her previous journey to Australia and New Zealand. She had made lifelong friends in Australia and had been amazed by the diverse wildlife and stunning landscapes of New Zealand. Back in Italy, she was planning to visit the vineyards, flooded with memories of her visit to France where she had tasted the world's best wines.","[Italy, Australia, New Zealand, Australia, New Zealand, Italy, France, France, Italy]",9,403
94,"As a diplomat from the United States, Michael had the opportunity to travel widely and learn about the intricacies of global politics. Striking up a conversation with a fellow diplomat from Canada at a summit in New York, he learned about the nuanced relationship between the United States and Canada; how they shared not only a border, but a multitude of cultural and economic ties. He was fascinated by the unique dynamics between Australia and New Zealand as well, as he had recently been posted there.","[United States, Canada, United States, Canada, Australia, New Zealand, Australia, New Zealand, United States, United States, United States, United States]",12,505
95,"In the bustling markets of India, Marie, a trained archaeologist, overheard stories of an ancient wall built to protect against invasions from Pakistan. Intriguingly, it seemed that the wall, although iconic in India, was also a point of historical significance for Pakistan, marking a shared past of conflicts and collaborations. Inspired, she recounted the tales to Thomas, an avid historian from Australia, familiar with tales of interlinked histories between Australia and New Zealand.","[India, Pakistan, India, Pakistan, Australia, Australia, New Zealand, New Zealand, Australia, Australia, New Zealand, India]",12,489
96,"In Emily's journey across the globe, she found a peculiar connection between North Korea and South Korea. It was evident that North Korea and South Korea shared deep cultural ties, despite political differences. Emily's travels also led her to the bustling streets of India, where she learned about its longstanding relationship with Iran.","[North Korea, South Korea, North Korea, South Korea, India, Iran, India, Iran, North Korea]",9,339
97,"James, an avid traveler from the United States, found himself in Argentina, fascinated by the rich history and vibrant culture. His curiosity about Argentina's past was sparked by stories about the Indigenous people who had been there long before European settlers arrived. Interestingly, he learned that Argentina had a profound cultural exchange with Brazil, due to their geographical proximity.","[United States, Argentina, Argentina, Argentina, Brazil, Argentina, Brazil, Argentina, Brazil, Argentina]",10,397
98,"John, a history enthusiast from Australia, had always been drawn to the intriguing stories of ancient civilizations and their hidden treasures. During his studies, he found that Australia had been a crossroads of cultures, with influences flowing from the far clubs of Indonesia, enriching the local societies. Indonesia, with its diverse culture and rich history, had a lot more to offer than it had received.","[Australia, Australia, Indonesia, Indonesia, Australia]",5,410
99,"On a recent trip to Mexico, Adam unearthed a collection of old artifacts that seemed to tell the story of a long-gone civilization. The artifacts gave insights into the ancient history of Mexico, revealing a society that was both culturally sophisticated and technologically advanced. Intrigued by his findings, he reached out to his childhood friend Lily, an archaeologist based in the United States. Lily had previously worked on archaeological sites that dated back to the prehistoric period in the United States and the neighboring country, Canada.","[Mexico, Mexico, United States, United States, Canada, United States, Canada, Mexico]",8,552
